tick_ms,position_mm,velocity_mm_s,target_mm_s,internal_model_mm_s,current_command_A,unsaturated_current_A,saturated
7.377000000000000000e+04,2.956050000000000182e+02,4.468800000000000239e+01,0.000000000000000000e+00,4.030100000000000193e+01,-2.978000000000000203e+00,-2.978000000000000203e+00,0.000000000000000000e+00
7.377200000000000000e+04,2.956809999999999832e+02,4.216700000000000159e+01,0.000000000000000000e+00,3.871999999999999886e+01,-2.572000000000000064e+00,-2.572000000000000064e+00,0.000000000000000000e+00
7.377400000000000000e+04,2.957289999999999850e+02,2.438299999999999912e+01,0.000000000000000000e+00,3.720199999999999818e+01,5.831000000000000405e+00,5.831000000000000405e+00,0.000000000000000000e+00
7.377600000000000000e+04,2.957620000000000005e+02,1.663800000000000168e+01,0.000000000000000000e+00,3.574300000000000210e+01,9.397000000000000242e+00,9.397000000000000242e+00,0.000000000000000000e+00
7.377800000000000000e+04,2.958039999999999736e+02,1.998300000000000054e+01,0.000000000000000000e+00,3.434199999999999875e+01,7.357000000000000206e+00,7.357000000000000206e+00,0.000000000000000000e+00
7.378000000000000000e+04,2.958849999999999909e+02,3.895799999999999841e+01,0.000000000000000000e+00,3.299499999999999744e+01,-2.894000000000000128e+00,-2.894000000000000128e+00,0.000000000000000000e+00
7.378200000000000000e+04,2.959759999999999991e+02,4.601700000000000301e+01,0.000000000000000000e+00,3.170200000000000173e+01,-7.360999999999999766e+00,-7.360999999999999766e+00,0.000000000000000000e+00
7.378400000000000000e+04,2.960840000000000032e+02,5.289200000000000301e+01,0.000000000000000000e+00,3.045899999999999963e+01,-1.000000000000000000e+01,-1.185399999999999920e+01,1.000000000000000000e+00
7.378600000000000000e+04,2.961510000000000105e+02,3.629999999999999716e+01,0.000000000000000000e+00,2.926399999999999935e+01,-4.248999999999999666e+00,-4.248999999999999666e+00,0.000000000000000000e+00
7.378800000000000000e+04,2.961789999999999736e+02,1.530799999999999983e+01,0.000000000000000000e+00,2.811700000000000088e+01,5.937000000000000277e+00,5.937000000000000277e+00,0.000000000000000000e+00
7.379000000000000000e+04,2.961909999999999741e+02,6.416999999999999815e+00,0.000000000000000000e+00,2.701399999999999935e+01,1.000000000000000000e+01,1.024900000000000055e+01,1.000000000000000000e+00
7.379200000000000000e+04,2.962130000000000223e+02,1.008300000000000018e+01,0.000000000000000000e+00,2.595499999999999829e+01,8.240000000000000213e+00,8.240000000000000213e+00,0.000000000000000000e+00
7.379400000000000000e+04,2.962730000000000246e+02,2.772899999999999920e+01,0.000000000000000000e+00,2.493700000000000117e+01,-1.118000000000000105e+00,-1.118000000000000105e+00,0.000000000000000000e+00
7.379600000000000000e+04,2.963530000000000086e+02,3.978300000000000125e+01,0.000000000000000000e+00,2.396000000000000085e+01,-7.953999999999999737e+00,-7.953999999999999737e+00,0.000000000000000000e+00
7.379800000000000000e+04,2.964429999999999836e+02,4.367900000000000205e+01,0.000000000000000000e+00,2.301999999999999957e+01,-1.000000000000000000e+01,-1.077500000000000036e+01,1.000000000000000000e+00
7.380000000000000000e+04,2.965059999999999718e+02,3.510799999999999699e+01,0.000000000000000000e+00,2.211700000000000088e+01,-7.198999999999999844e+00,-7.198999999999999844e+00,0.000000000000000000e+00
7.380200000000000000e+04,2.965249999999999773e+02,1.196199999999999974e+01,0.000000000000000000e+00,2.125000000000000000e+01,4.120000000000000107e+00,4.120000000000000107e+00,0.000000000000000000e+00
7.380400000000000000e+04,2.965169999999999959e+02,-2.979000000000000092e+00,0.000000000000000000e+00,2.041700000000000159e+01,1.000000000000000000e+01,1.164300000000000068e+01,1.000000000000000000e+00
