time,f7_time,stage,type,id,target,position,velocity,current,state,code,desired_position,chirp_phase
0.09037499595433474,156.843,observe,0,1,,-0.0005965481395833194,0.0,-0.014999999664723873,0,1,,
0.1007252199924551,156.853,observe,1,2,,131.4466552734375,8.2657470703125,-0.0,0,1,,
0.1007252199924551,156.853,observe,1,1,,-92.2138671875,-0.0,-0.0,0,1,,
0.1007252199924551,156.853,observe,0,4,,0.0,-0.0,0.02800000086426735,0,1,,
0.1007252199924551,156.853,observe,0,1,,-0.0005965481395833194,0.0,-0.014999999664723873,0,1,,
0.11049230600474402,156.863,observe,1,2,,131.44097900390625,-12.017356872558594,-0.0,0,1,,
0.11049230600474402,156.863,observe,1,1,,-92.2138671875,-0.0,-0.0,0,1,,
0.11049230600474402,156.863,observe,0,4,,0.0,-0.0,0.004000000189989805,0,1,,
0.11049230600474402,156.863,observe,0,1,,-0.0005965481395833194,0.0,0.019999999552965164,0,1,,
0.12081021897029132,156.873,observe,1,2,,131.44097900390625,3.9441609382629395,-0.0,0,1,,
0.12081021897029132,156.873,observe,1,1,,-92.2138671875,-0.0,-0.0,0,1,,
0.12081021897029132,156.873,observe,0,4,,0.0,-0.0,-0.019999999552965164,0,1,,
0.12081021897029132,156.873,observe,0,1,,-0.0005965481395833194,0.0,-0.014999999664723873,0,1,,
0.13062046596314758,156.883,observe,1,2,,131.43812561035156,1.9300997257232666,-0.0,0,1,,
0.13062046596314758,156.883,observe,1,1,,-92.2138671875,-0.0,-0.0,0,1,,
0.13062046596314758,156.883,observe,0,4,,0.0,-0.0,-0.019999999552965164,0,1,,
0.13062046596314758,156.883,observe,0,1,,-0.0005965481395833194,0.0,0.057999998331069946,0,1,,
0.14068022300489247,156.893,observe,1,2,,131.45228576660156,9.408597946166992,-0.0,0,1,,
0.14068022300489247,156.893,observe,1,1,,-92.2138671875,-0.0,-0.0,0,1,,
0.14068022300489247,156.893,observe,0,4,,0.0,-0.0,-0.019999999552965164,0,1,,
0.14068022300489247,156.893,observe,0,1,,-0.0005965481395833194,0.0,0.019999999552965164,0,1,,
0.15044174797367305,156.903,observe,1,2,,131.44097900390625,0.7832627892494202,-0.0,0,1,,
0.15044174797367305,156.903,observe,1,1,,-92.2138671875,-0.0,-0.0,0,1,,
0.15044174797367305,156.903,observe,0,4,,0.0,-0.0,-0.019999999552965164,0,1,,
0.15044174797367305,156.903,observe,0,1,,-0.0005965481395833194,0.0,-0.23199999332427979,0,1,,
0.16041797696379945,156.913,observe,1,2,,131.43812561035156,-0.3231956660747528,-0.0,0,1,,
0.16041797696379945,156.913,observe,1,1,,-92.2138671875,-0.0,-0.0,0,1,,
0.16041797696379945,156.913,observe,0,4,,0.0,-0.0,0.004000000189989805,0,1,,
0.16041797696379945,156.913,observe,0,1,,-0.0005965481395833194,0.0,-0.014999999664723873,0,1,,
0.17035102599766105,156.923,observe,1,2,,131.44097900390625,-0.43796461820602417,-0.0,0,1,,
0.17035102599766105,156.923,observe,1,1,,-92.2138671875,-0.0,-0.0,0,1,,
