tick,id,address,value
55585,1,28698,-2.67716646194458
55605,1,28698,-2.6685166358947754
55625,1,28698,-2.4106392860412598
55645,1,28698,-2.2132813930511475
55665,1,28698,-1.7536969184875488
55685,1,28698,-1.6206077337265015
55705,1,28698,-1.3285540342330933
55725,1,28698,-1.1573686599731445
55745,1,28698,-0.912851870059967
55765,1,28698,-0.7550374269485474
55766,1,28700,24.2115478515625
55785,1,28698,-0.5092945098876953
55805,1,28698,-0.1129201352596283
55825,1,28698,-0.24691282212734222
55845,1,28698,0.41389545798301697
55865,1,28698,0.21733622252941132
55885,1,28698,0.4805010259151459
55906,1,28698,0.5737631320953369
55925,1,28698,0.6552104949951172
55945,1,28698,0.744086742401123
55965,1,28698,0.9408924579620361
55966,1,28700,24.2115478515625
55985,1,28698,1.18490731716156
56006,1,28698,1.4826887845993042
56025,1,28698,1.9482852220535278
56045,1,28698,2.5371627807617188
56065,1,28698,3.0997753143310547
56085,1,28698,3.6328420639038086
56105,1,28698,3.959099531173706
56125,1,28698,3.925461769104004
56145,1,28698,3.6731059551239014
56165,1,28698,3.1288976669311523
56166,1,28700,24.106279373168945
56185,1,28698,2.7356631755828857
56205,1,28698,2.4588866233825684
56225,1,28698,2.3345820903778076
56245,1,28698,1.9575152397155762
56265,1,28698,1.5722265243530273
56285,1,28698,1.1083402633666992
56305,1,28698,0.866142213344574
56325,1,28698,0.5445921421051025
56345,1,28698,0.19669805467128754
56366,1,28698,0.10305238515138626
56366,1,28700,24.2115478515625
56385,1,28698,-0.0625368133187294
56405,1,28698,-0.17575766146183014
56425,1,28698,-0.4206935465335846
56445,1,28698,-0.7372647523880005
56465,1,28698,-1.0338952541351318
56485,1,28698,-1.3116374015808105
56505,1,28698,-1.618520975112915
56525,1,28698,-2.0418014526367188
56545,1,28698,-2.421600341796875
56565,1,28698,-2.813453435897827
56566,1,28700,24.106279373168945
56585,1,28698,-3.011512517929077
56605,1,28698,-3.141791820526123
56625,1,28698,-3.0924253463745117
56645,1,28698,-2.8626012802124023
56665,1,28698,-2.375986099243164
56685,1,28698,-1.9226505756378174
56705,1,28698,-1.4738997220993042
56725,1,28698,-1.1619137525558472
56745,1,28698,-0.9424128532409668
56765,1,28698,-0.6874690651893616
56766,1,28700,24.2115478515625
56785,1,28698,-0.5514292120933533
56805,1,28698,-0.16912280023097992
56825,1,28698,-0.07262040674686432
56845,1,28698,0.02715023048222065
56865,1,28698,0.47150158882141113
56885,1,28698,0.8255317807197571
56905,1,28698,1.0455161333084106
56925,1,28698,1.0875517129898071
56945,1,28698,1.3274978399276733
56965,1,28698,1.5900506973266602
56966,1,28700,24.17645835876465
56985,1,28698,1.7927064895629883
57005,1,28698,2.2951929569244385
57025,1,28698,2.9782164096832275
57045,1,28698,3.840669870376587
57065,1,28698,4.4266743659973145
57085,1,28698,4.542791843414307
57105,1,28698,4.203630447387695
57125,1,28698,3.4664177894592285
57145,1,28698,2.6873557567596436
57165,1,28698,2.3545169830322266
57166,1,28700,24.106279373168945
57185,1,28698,2.1048505306243896
57205,1,28698,1.9086012840270996
57225,1,28698,1.595970869064331
57245,1,28698,1.2791557312011719
57265,1,28698,0.973379909992218
57285,1,28698,0.6277300119400024
57305,1,28698,0.23991341888904572
57325,1,28698,-0.1655712127685547
57345,1,28698,-0.04366254061460495
57365,1,28698,-0.39653289318084717
57366,1,28700,24.2115478515625
57385,1,28698,-0.6364901065826416
57405,1,28698,-1.0626106262207031
57425,1,28698,-1.443844199180603
57445,1,28698,-1.8928531408309937
57465,1,28698,-2.360527992248535
57485,1,28698,-2.679131269454956
57505,1,28698,-2.970921754837036
57525,1,28698,-3.2414743900299072
57545,1,28698,-3.46742582321167
57565,1,28698,-3.365199565887451
57566,1,28700,24.00101089477539
57585,1,28698,-3.035416603088379
57605,1,28698,-2.486833095550537
57625,1,28698,-1.7961032390594482
57645,1,28698,-1.2047889232635498
57665,1,28698,-0.8185562491416931
57685,1,28698,-0.6454185843467712
57705,1,28698,-0.4175282120704651
57725,1,28698,0.03641735762357712
57745,1,28698,-0.04092741757631302
57765,1,28698,0.3405781090259552
57766,1,28700,24.2115478515625
57785,1,28698,0.6539422273635864
57805,1,28698,0.9294102787971497
57825,1,28698,1.1771234273910522
57845,1,28698,1.5044194459915161
57865,1,28698,1.8274391889572144
57885,1,28698,2.398214101791382
57905,1,28698,3.0958688259124756
57925,1,28698,3.856548309326172
57945,1,28698,4.491548538208008
57965,1,28698,4.74801778793335
57966,1,28700,23.860654830932617
57985,1,28698,4.39051628112793
58005,1,28698,3.808488368988037
58025,1,28698,3.1035261154174805
58045,1,28698,2.634671211242676
58065,1,28698,2.1109890937805176
58085,1,28698,1.7335866689682007
58105,1,28698,1.4238767623901367
58125,1,28698,1.1632354259490967
58146,1,28698,0.9211137294769287
58165,1,28698,0.581038773059845
58166,1,28700,24.2115478515625
58185,1,28698,0.14751896262168884
58205,1,28698,0.07635509222745895
58225,1,28698,-0.24587461352348328
58245,1,28698,-0.6542269587516785
58265,1,28698,-1.0945428609848022
58285,1,28698,-1.4698610305786133
58305,1,28698,-1.9522020816802979
58325,1,28698,-2.4313714504241943
58345,1,28698,-2.8603243827819824
58365,1,28698,-3.134469509124756
58366,1,28700,24.036100387573242
58385,1,28698,-3.4491279125213623
58405,1,28698,-3.5828514099121094
58425,1,28698,-3.6201624870300293
58445,1,28698,-3.320080280303955
58465,1,28698,-2.5446934700012207
58485,1,28698,-1.6168829202651978
58505,1,28698,-0.9563674330711365
58525,1,28698,-0.6813960671424866
58545,1,28698,-0.4132271707057953
58565,1,28698,-0.03954717889428139
58566,1,28700,24.24663543701172
58585,1,28698,-0.04632687196135521
58605,1,28698,0.5994042158126831
58625,1,28698,0.8731640577316284
58645,1,28698,1.244774341583252
58666,1,28698,1.7490307092666626
58685,1,28698,2.211838722229004
58705,1,28698,2.721435308456421
58725,1,28698,3.35395884513855
58745,1,28698,4.05501127243042
58765,1,28698,4.399202823638916
58766,1,28700,23.89574432373047
58785,1,28698,4.268388271331787
58805,1,28698,4.078359603881836
58825,1,28698,3.637481927871704
58845,1,28698,3.2367465496063232
58865,1,28698,2.601350784301758
58885,1,28698,2.0362625122070312
58905,1,28698,1.5337638854980469
58925,1,28698,1.2399824857711792
58945,1,28698,0.9447166919708252
58965,1,28698,0.7564317584037781
58966,1,28700,24.2115478515625
58985,1,28698,0.36138656735420227
59005,1,28698,-0.029173824936151505
59025,1,28698,0.02432476170361042
59045,1,28698,-0.5484045147895813
59065,1,28698,-0.9844629764556885
59085,1,28698,-1.5337107181549072
59105,1,28698,-2.096932888031006
59125,1,28698,-2.6691737174987793
59145,1,28698,-3.099647045135498
59165,1,28698,-3.388693332672119
59166,1,28700,24.00101089477539
59185,1,28698,-3.6356444358825684
59205,1,28698,-3.812227964401245
59225,1,28698,-3.5328543186187744
59245,1,28698,-3.08394193649292
59265,1,28698,-2.0669314861297607
59285,1,28698,-1.2531108856201172
59305,1,28698,-0.8130285739898682
