time_s,ideal_unit_step_response,estimate_60_deg_s,sensitivity_min_60_deg_s,sensitivity_max_60_deg_s,estimate_120_deg_s,sensitivity_min_120_deg_s,sensitivity_max_120_deg_s,estimate_400_deg_s,sensitivity_min_400_deg_s,sensitivity_max_400_deg_s
0.48,0.99177025295098,44.81667694091371,44.81667694091371,52.51449886328463,97.83769895446962,97.83769895446962,111.28600133639073,386.3962700736903,344.72733515244346,614.5256493384751
0.5,0.9932620530009145,45.11367162976257,45.11367162976257,52.94263460449107,98.58858583783231,98.58858583783231,111.65190394861222,389.266952208444,345.7299315401054,615.3644055278118
0.52,0.9944834355792392,44.96967622996662,44.96967622996662,53.42279964403058,98.88118676711437,98.88118676711437,113.06799754467403,392.61756518448533,349.18001769887644,607.6256253899934
0.54,0.9954834190573874,44.16937908466111,44.16937908466111,53.12095927192284,98.35653988474907,98.35653988474907,114.01509221787649,388.57419291010524,351.01297809900313,584.9050130963248
0.56,0.996302136283517,43.4087607988465,43.4087607988465,52.44638461194754,97.84291289020166,97.84291289020166,114.11420665030818,379.07833558912574,349.141926056874,558.9150922947243
0.58,0.9969724452546241,43.51764340338054,43.51764340338054,52.37694915195168,98.40494667120021,98.40494667120021,114.2393561346051,373.41257889896855,346.346410488899,544.1853897544845
0.6,0.9975212478233336,44.304080625035375,44.304080625035375,52.9590059070339,99.71879782656403,99.71879782656403,114.76187282438075,376.2296467278874,346.82743698497103,539.7725031270238
0.62,0.9979705693637043,44.617222822984786,44.617222822984786,53.15315256601815,100.10928645114006,100.10928645114006,114.76734756737093,381.97211483480095,350.99251595189725,532.064554354543
0.64,0.998338442726826,43.751149384369576,43.751149384369576,52.316488437139924,98.60066663639138,98.60066663639138,113.52887233348807,382.5935150046061,355.1374879683798,513.9019451117962
0.66,0.9986396319624521,42.47138777126964,42.47138777126964,51.27348489303518,96.4729924808597,96.4729924808597,112.04814186093802,377.9864555458093,356.2245619676851,494.0720281987537
0.68,0.9988862248521552,42.22546577132178,42.22546577132178,51.36319389275684,96.03343338245699,96.03343338245699,112.10426274543634,375.537290974857,355.51014197569833,485.1645444331572
0.7000000000000001,0.9990881180344455,43.35496472701678,43.35496472701678,52.59443542639568,97.76911132898408,97.76911132898408,113.73838546931668,379.96869773241906,356.543275438764,486.8730417775909
0.72,0.9992534141916233,44.54448824760928,44.54448824760928,53.427726487634985,99.44565635734183,99.44565635734183,114.69249106542722,387.1874310062235,360.4146310588804,487.104224706094
0.74,0.9993887472388704,44.357259286280815,44.357259286280815,52.70303255377804,98.64611468656507,98.64611468656507,113.10182096390977,389.994947814522,364.46185633801673,478.71713322627755
0.76,0.9994995485665594,43.07276407526439,43.07276407526439,51.30838580473624,95.89798054233111,95.89798054233111,110.24946727863696,387.6463856118986,365.88398734892354,468.9759635148329
0.78,0.9995902650210202,42.483038197681594,42.483038197681594,51.2551396437164,94.39277811818316,94.39277811818316,109.49633711473255,386.50455976728944,365.3473150975477,469.2699046501698
0.8,0.9996645373720975,43.72323781698125,43.72323781698125,53.085028049131985,96.23695875806384,96.23695875806384,112.13655321738204,391.2398020855454,365.92329460004953,479.4329845411901
