tick,id,target,model,velocity,current,position,reference_current
1145233,1,-220.7373504638672,88.74156188964844,85.97479248046875,-5.292291164398193,87.99517822265625,3.575968027114868
1145253,1,-310.3868103027344,22.505048751831055,65.54966735839844,-11.0,88.85212707519531,0.32774439454078674
1145273,1,-399.851318359375,-50.65719223022461,-43.031951904296875,-9.410335540771484,84.96290588378906,-1.8748146295547485
1145293,1,-316.7372131347656,-106.8011245727539,-57.697662353515625,-11.0,83.2490234375,-3.557851552963257
1145313,1,-103.2713394165039,-127.07025909423828,-72.36404418945312,-11.0,81.3593521118164,-4.2172369956970215
1145333,1,156.45513916015625,-104.2239990234375,-85.5372085571289,-0.20527541637420654,79.24991607666016,-3.6229143142700195
1145353,1,258.6141662597656,-45.418819427490234,-78.54286193847656,11.0,77.77776336669922,-1.3091264963150024
1145373,1,391.96533203125,29.301136016845703,2.6185827255249023,11.0,79.84321594238281,0.9142754077911377
1145393,1,358.9998474121094,92.80821990966797,51.89046859741211,11.0,82.74363708496094,3.520256519317627
1145413,1,165.20501708984375,125.18446350097656,65.41905975341797,11.0,84.43556213378906,4.010168552398682
1145433,1,-94.2653579711914,114.29588317871094,79.44757843017578,5.229384422302246,86.45707702636719,3.7086241245269775
1145453,1,-208.3332977294922,63.59138488769531,83.13768005371094,-10.491805076599121,88.30281066894531,2.1917474269866943
1145473,1,-376.3597106933594,-9.610185623168945,31.133262634277344,-11.0,87.73148345947266,-0.26540958881378174
1145493,1,-378.168212890625,-78.71278381347656,-49.721195220947266,-11.0,83.90821838378906,-3.0841076374053955
1145513,1,-196.37411499023438,-121.56085205078125,-63.073211669921875,-11.0,82.30416107177734,-4.119254112243652
1145533,1,38.10025405883789,-119.79488372802734,-78.23356628417969,-8.212068557739258,80.28269958496094,-3.7787508964538574
1145553,1,155.60870361328125,-77.88556671142578,-85.79166412353516,6.240657329559326,78.28314208984375,-3.035019874572754
1145573,1,350.311767578125,-9.930887222290039,-57.811309814453125,11.0,77.75579833984375,0.008473497815430164
1145593,1,394.9780578613281,62.80482482910156,46.40987014770508,11.0,81.90866088867188,2.3949196338653564
1145613,1,261.7225341796875,112.9738998413086,56.836456298828125,11.0,83.27098083496094,4.14340877532959
1145633,1,15.170594215393066,123.31599426269531,74.62556457519531,10.80116081237793,85.24857330322266,3.5827858448028564
1145653,1,-128.7571258544922,92.64686584472656,87.13286590576172,-2.5529301166534424,87.40193939208984,3.760439872741699
1145673,1,-337.4224853515625,26.810976028442383,74.49639892578125,-11.0,88.65437316894531,0.4759839177131653
1145693,1,-396.8336181640625,-47.20481872558594,-30.96272850036621,-11.0,85.1167221069336,-1.7892990112304688
1145713,1,-279.27850341796875,-104.48300170898438,-51.344573974609375,-11.0,83.35890197753906,-3.668886661529541
1145733,1,-174.721435546875,-124.34475708007812,-67.63257598876953,-11.0,81.51316833496094,-4.263792514801025
1145753,1,91.97496032714844,-100.6619873046875,-82.23179626464844,-1.6067887544631958,79.42569732666016,-3.7362849712371826
1145773,1,317.50689697265625,-38.49100875854492,-75.35051727294922,11.0,77.99748229980469,-1.1793928146362305
1145793,1,399.920166015625,35.68458557128906,7.652871608734131,11.0,80.23876190185547,1.0038812160491943
1145813,1,307.3730773925781,97.46859741210938,49.89863967895508,11.0,82.89745330810547,3.703364610671997
1145833,1,212.15414428710938,124.75052642822266,67.01990509033203,11.0,84.72122192382812,3.8369946479797363
1145853,1,-55.272216796875,106.05459594726562,82.785888671875,3.3278932571411133,86.87458801269531,4.186069011688232
1145873,1,-287.7102355957031,47.53758239746094,83.2922592163086,-11.0,88.65437316894531,1.3513970375061035
1145893,1,-398.9957580566406,-25.75919532775879,5.049056053161621,-11.0,86.80863952636719,-0.7074016332626343
1145913,1,-326.3119812011719,-90.73773956298828,-46.27657699584961,-11.0,83.99613189697266,-3.254164934158325
1145933,1,-239.27659606933594,-123.59815216064453,-62.25589370727539,-11.0,82.30416107177734,-4.105423927307129
1145953,1,16.36823081970215,-113.38158416748047,-80.3628158569336,-6.760894298553467,80.19477844238281,-3.824333429336548
1145973,1,263.2380065917969,-58.306819915771484,-83.39862823486328,11.0,78.32707214355469,-2.0261714458465576
