raw_relative_to_target400_s,shifted_relative_s_minus_1s,position_mm,velocity_mm_s,current_A,state,unit_message_code
1.172374487,0.172374487,105.856872559,99.733329773,2.578000069,1,1
1.182205200,0.182205200,106.552093506,54.404167175,-4.132999897,1,1
1.192432404,0.192432404,107.458465576,72.187500000,3.755000114,1,1
1.202218533,0.202218533,108.316497803,115.683334351,3.200000048,1,1
1.212404966,0.212404966,109.157409668,90.337493896,-4.278999805,1,1
1.222167015,0.222167015,110.201416016,74.204170227,-2.868999958,1,1
1.232377768,0.232377768,111.269927979,121.550003052,3.252000093,1,1
1.242184162,0.242184162,112.222625732,114.491668701,-4.363999844,1,1
1.252442837,0.252442837,113.405273438,83.783332825,-3.796000004,1,1
1.262105942,0.262105942,114.638275146,158.491668701,2.684999943,1,1
1.272405863,0.272405863,115.934051514,98.220832825,-4.065999985,1,1
1.282255411,0.282255411,117.386596680,156.979156494,2.882999897,1,1
1.292439222,0.292439222,118.739776611,160.966659546,-4.339000225,1,1
1.302199602,0.302199602,120.198699951,118.020835876,-3.898999929,1,1
1.312345266,0.312345266,121.888580322,183.837493896,3.059000015,1,1
1.322145462,0.322145462,123.347839355,153.587493896,-4.046000004,1,1
1.332402945,0.332402945,125.141113281,153.083343506,1.917000055,1,1
1.342142582,0.342142582,126.738342285,189.200012207,-4.522999763,1,1
1.352319479,0.352319479,128.575927734,151.250000000,-3.532999992,1,1
1.362161875,0.362161875,130.584716797,219.587493896,3.164999962,1,1
1.372331381,0.372331381,132.441101074,189.016662598,-4.315000057,1,1
1.382155895,0.382155895,134.570404053,191.354171753,0.147000000,1,1
1.392380238,0.392380238,136.722869873,246.399993896,2.681999922,1,1
1.402089834,0.402089834,138.738372803,182.829162598,-3.826999903,1,1
1.412423372,0.412423372,141.104339600,256.850006104,2.796999931,1,1
1.422091007,0.422091007,143.115814209,200.612487793,-3.558000088,1,1
1.432457209,0.432457209,145.663055420,278.483337402,3.098000050,1,1
1.442129612,0.442129612,148.145172119,226.462493896,-4.427000046,1,1
1.452354431,0.452354431,150.761901855,251.304168701,3.493999958,1,1
1.462110043,0.462110043,153.133239746,259.187500000,-3.635999918,1,1
1.472382069,0.472382069,155.609649658,224.766662598,-4.341000080,1,1
1.482277870,0.482277870,158.264984131,266.566680908,3.398999929,1,1
1.492337465,0.492337465,160.606445312,248.600006104,-3.473000050,1,1
1.502190828,0.502190828,163.404449463,267.758331299,3.417999983,1,1
1.512373924,0.512373924,165.830505371,257.354187012,-4.416999817,1,1
1.522094250,0.522094250,168.670135498,263.862487793,3.203000069,1,1
1.532357216,0.532357216,171.490295410,285.679168701,-4.144000053,1,1
1.542172670,0.542172670,174.173492432,235.170837402,-3.453999996,1,1
1.552473783,0.552473783,176.975860596,303.829162598,2.743000031,1,1
1.562110662,0.562110662,179.576477051,230.633331299,-4.301000118,1,1
1.572377443,0.572377443,182.412414551,305.845825195,3.059000015,1,1
1.582245588,0.582245588,184.891845703,240.899993896,-3.930000067,1,1
1.592544794,0.592544794,187.871459961,318.450012207,2.931999922,1,1
1.602104664,0.602104664,190.409973145,236.179168701,-3.637000084,1,1
1.612541437,0.612541437,193.618530273,314.554168701,2.821000099,1,1
1.622268677,0.622268677,196.250701904,265.054168701,-4.133999825,1,1
1.632378578,0.632378578,198.987609863,247.087493896,-3.779000044,1,1
1.642230034,0.642230034,201.820526123,281.187500000,3.154000044,1,1
1.652458906,0.652458906,204.465454102,290.399993896,-3.854000092,1,1
1.662242174,0.662242174,207.206726074,243.924987793,-3.936000109,1,1
1.672368288,0.672368288,210.043670654,279.491668701,3.150000095,1,1
1.682243586,0.682243586,212.489868164,264.549987793,-3.703999996,1,1
1.692444086,0.692444086,215.330841064,257.170837402,3.497999907,1,1
1.702194929,0.702194929,218.153015137,291.591674805,-3.276999950,1,1
1.712397575,0.712397575,220.820770264,238.379165649,-4.182000160,1,1
1.722218752,0.722218752,223.519073486,262.716674805,3.364000082,1,1
1.732473850,0.732473850,226.074707031,279.674987793,1.113000035,1,1
1.742128372,0.742128372,228.517547607,225.958328247,-3.736999989,1,1
1.752488613,0.752488613,231.130249023,251.441665649,3.198999882,1,1
1.762233734,0.762233734,233.560668945,270.600006104,-0.497000009,1,1
1.772393465,0.772393465,236.008209229,217.387512207,-4.019000053,1,1
1.782082319,0.782082319,238.595733643,269.087493896,3.023000002,1,1
1.792372942,0.792372942,240.999633789,223.575012207,-3.914999962,1,1
1.802112341,0.802112341,243.447174072,220.733337402,3.315000057,1,1
1.812399387,0.812399387,245.750030518,260.837493896,3.288000107,1,1
1.822126627,0.822126627,247.936737061,204.141662598,-4.177000046,1,1
1.832332850,0.832332850,250.343994141,231.504165649,3.604000092,1,1
1.842095852,0.842095852,252.363189697,225.270828247,-3.861999989,1,1
1.852546215,0.852546215,254.577758789,187.825012207,-3.834000111,1,1
1.862067699,0.862067699,256.809448242,247.912506104,3.006000042,1,1
1.872426271,0.872426271,258.946472168,171.737503052,-3.881000042,1,1
1.882094622,0.882094622,261.165069580,234.666671753,3.032999992,1,1
1.892436504,0.892436504,263.035888672,187.183334351,-4.386000156,1,1
1.902180433,0.902180433,265.273284912,215.691665649,3.480999947,1,1
1.912348986,0.912348986,267.103820801,202.766662598,-4.260000229,1,1
1.922154665,0.922154665,269.110931396,166.695831299,-4.045000076,1,1
1.932419300,0.932419300,271.108978271,223.758331299,2.944000006,1,1
1.942114592,0.942114592,272.896881104,170.225006104,-4.046000004,1,1
1.952373981,0.952373981,275.052703857,212.529159546,3.111999989,1,1
1.962076664,0.962076664,276.864776611,176.916671753,-4.089000225,1,1
1.972423792,0.972423792,278.875579834,182.966659546,3.753000021,1,1
1.982063293,0.982063293,280.588287354,196.899993896,-3.562999964,1,1
1.992281675,0.992281675,282.374176025,143.870834351,-3.470000029,1,1
2.002084255,1.002084255,284.185577393,210.145828247,3.088999987,1,1
2.012360573,1.012360573,285.783813477,135.804168701,-3.767999887,1,1
2.022090912,1.022090912,287.675781250,208.312500000,3.163000107,1,1
2.032344341,1.032344341,289.154846191,127.737503052,-4.361999989,1,1
2.042075157,1.042075157,290.984710693,191.354171753,3.078000069,1,1
2.052368402,1.052368402,292.510437012,138.324996948,-4.486999989,1,1
2.062135220,1.062135220,294.308746338,171.554168701,3.055000067,1,1
2.072346210,1.072346210,295.712951660,157.620834351,-4.322000027,1,1
2.082116842,1.082116842,297.382354736,132.962493896,-3.861000061,1,1
2.092318773,1.092318773,298.983612061,152.579162598,3.802999973,1,1
2.102087021,1.102087021,300.410644531,173.754165649,-4.440000057,1,1
2.112336636,1.112336636,302.023986816,118.524993896,-1.713999987,1,1
2.122066259,1.122066259,303.548706055,177.420837402,2.956000090,1,1
2.132339954,1.132339954,304.847839355,123.199996948,-3.719000101,1,1
2.142110825,1.142110825,306.554840088,138.829162598,3.489000082,1,1
2.152313471,1.152313471,308.007720947,161.149993896,3.335999966,1,1
2.162081480,1.162081480,309.218902588,130.625000000,-4.230000019,1,1
2.172363520,1.172363520,310.643249512,111.466667175,3.250999928,1,1
2.182173491,1.182173491,311.860809326,151.066665649,0.603999972,1,1
2.192373753,1.192373753,313.034393311,92.858329773,-3.684000015,1,1
2.202158213,1.202158213,314.415771484,137.500000000,3.657999992,1,1
2.212304592,1.212304592,315.477233887,125.583335876,-4.629000187,1,1
2.222081661,1.222081661,316.978454590,102.758331299,-2.898000002,1,1
2.232297659,1.232297659,318.233612061,112.795829773,3.716000080,1,1
2.242097139,1.242097139,319.432037354,150.241668701,2.903000116,1,1
2.252240181,1.252240181,320.558288574,109.633331299,-4.084000111,1,1
2.262057543,1.262057543,321.816467285,99.229164124,0.730000019,1,1
2.272340536,1.272340536,322.961853027,142.175003052,3.009999990,1,1
2.282069683,1.282069683,323.993438721,85.616668701,-3.957000017,1,1
2.292300224,1.292300224,325.342254639,135.483337402,3.290999889,1,1
2.302134752,1.302134752,326.289245605,98.358329773,-4.380000114,1,1
2.312327385,1.312327385,327.619934082,115.500000000,3.188999891,1,1
2.322123289,1.322123289,328.598480225,118.204170227,-4.104000092,1,1
2.332372427,1.332372427,329.658599854,78.420829773,-3.884000063,1,1
2.342045307,1.342045307,330.810028076,121.550003052,3.296999931,1,1
2.352343082,1.352343082,331.726135254,107.800003052,-4.492000103,1,1
2.362116575,1.362116575,332.801361084,76.908332825,-3.503000021,1,1
2.372359514,1.372359514,333.859466553,132.274993896,3.252000093,1,1
2.382038116,1.382038116,334.722534180,74.891670227,-4.420000076,1,1
2.392292261,1.392292261,336.030731201,108.945831299,3.684999943,1,1
2.402020454,1.402020454,336.900512695,109.312500000,-4.543000221,1,1
2.412460327,1.412460327,337.823669434,59.125000000,-3.516000032,1,1
2.422062635,1.422062635,338.839477539,117.837493896,3.535000086,1,1
2.432367802,1.432367802,339.549804688,77.045829773,-3.907999992,1,1
2.442067623,1.442067623,340.634765625,96.387496948,3.424000025,1,1
2.452345610,1.452345610,341.272247314,81.262496948,-4.453000069,1,1
2.462108135,1.462108135,342.335052490,85.479171753,3.740000010,1,1
2.472408295,1.472408295,343.066528320,98.541664124,-4.129000187,1,1
2.482078314,1.482078314,344.062530518,53.900001526,0.094999999,1,1
2.492341518,1.492341518,344.865509033,106.791664124,3.124000072,1,1
2.502123594,1.502123594,345.554016113,58.758335114,-4.282999992,1,1
2.512347221,1.512347221,346.602722168,100.375000000,3.345999956,1,1
2.522121191,1.522121191,347.298950195,85.616668701,-4.594999790,1,1
2.532345295,1.532345295,348.101257324,53.900001526,-3.634000063,1,1
2.542120695,1.542120695,348.908935547,109.129165649,2.670000076,1,1
2.552370310,1.552370310,349.614562988,37.950000763,-3.736999989,1,1
2.562102318,1.562102318,350.451782227,116.508331299,2.746000051,1,1
2.572358847,1.572358847,351.206085205,55.733333588,-3.986999989,1,1
2.582034349,1.582034349,352.050018311,70.537498474,3.483000040,1,1
