time_s,target_normalized,ideal_normalized,fit20,unity20,fit200,unity200,fit800,unity800
4.175000000000000377e-01,1.000000000000000000e+00,9.846248083449785637e-01,9.150334231772643268e-01,9.757824651132936955e-01,9.885764534605684384e-01,9.850523201906083992e-01,8.408378244739010965e-01,9.529520489276571693e-01
4.180000000000000382e-01,1.000000000000000000e+00,9.847014924332745389e-01,9.151158087934384566e-01,9.758915458210966065e-01,9.886530308879666329e-01,9.851276130430489664e-01,8.409466057876457956e-01,9.531297064033853461e-01
4.185000000000000386e-01,1.000000000000000000e+00,9.847777940580844103e-01,9.151977943591733666e-01,9.760001352071829839e-01,9.887292242015315313e-01,9.852025266383940272e-01,8.410549076404103541e-01,9.533066930278233375e-01
4.190000000000000391e-01,1.000000000000000000e+00,9.848537151269529666e-01,9.152793818170453788e-01,9.761082354845656006e-01,9.888050353279853599e-01,9.852770628869967906e-01,8.411627321454514528e-01,9.534830113341684621e-01
4.195000000000000395e-01,1.000000000000000000e+00,9.849292575379109405e-01,9.153605731001980272e-01,9.762158488562897585e-01,9.888804661843860755e-01,9.853512236895880516e-01,8.412700814067112232e-01,9.536586638460524679e-01
4.200000000000000400e-01,1.000000000000000000e+00,9.850044231795223038e-01,9.154413701323879105e-01,9.763229775154775858e-01,9.889555186781755491e-01,9.854250109373240418e-01,8.413769575188588812e-01,9.538336530775776145e-01
4.205000000000000404e-01,1.000000000000000000e+00,9.850792139309321183e-01,9.155217748280302104e-01,9.764296236453732236e-01,9.890301947072276390e-01,9.854984265118355014e-01,8.414833625673309170e-01,9.540079815333528668e-01
4.210000000000000409e-01,1.000000000000000000e+00,9.851536316619131650e-01,9.156017890922438784e-01,9.765357894193866795e-01,9.891044961598967067e-01,9.855714722852747522e-01,8.415892986283723953e-01,9.541816517085294214e-01
4.215000000000000413e-01,1.000000000000000000e+00,9.852276782329124627e-01,9.156814148208971549e-01,9.766414770011387914e-01,9.891784249150650243e-01,9.856441501203644373e-01,8.416947677690769236e-01,9.543546660888365674e-01
4.220000000000000417e-01,1.000000000000000000e+00,9.853013554950982300e-01,9.157606539006521995e-01,9.767466885445046376e-01,9.892519828421905137e-01,9.857164618704439274e-01,8.417997720474275081e-01,9.545270271506171023e-01
4.225000000000000422e-01,1.000000000000000000e+00,9.853746652904057379e-01,9.158395082090098338e-01,9.768514261936582788e-01,9.893251718013533758e-01,9.857884093795177272e-01,8.419043135123362998e-01,9.546987373608633032e-01
4.230000000000000426e-01,1.000000000000000000e+00,9.854476094515838280e-01,9.159179796143538388e-01,9.769556920831155011e-01,9.893979936433041633e-01,9.858599944823014383e-01,8.420083942036847846e-01,9.548697991772513438e-01
4.235000000000000431e-01,1.000000000000000000e+00,9.855201898022403206e-01,9.159960699759959191e-01,9.770594883377782258e-01,9.894704502095098553e-01,9.859312190042692770e-01,8.421120161523635295e-01,9.550402150481773766e-01
4.240000000000000435e-01,1.000000000000000000e+00,9.855924081568876449e-01,9.160737811442187795e-01,9.771628170729771412e-01,9.895425433322002640e-01,9.860020847617003703e-01,8.422151813803117060e-01,9.552099874127919499e-01
