f7_tick_ms,position_mm,measured_velocity_mm_s,applied_mpc_velocity_mm_s,dob_model_velocity_mm_s,controller_current_A,unsaturated_controller_current_A,saturated
8.455800000000000000e+04,4.778531188964843750e+02,-7.540958251953125000e+02,-8.250000000000000000e+02,-7.219323120117187500e+02,-3.247760772705078125e+00,-3.247760772705078125e+00,0.000000000000000000e+00
8.456000000000000000e+04,4.763294067382812500e+02,-7.606500244140625000e+02,-8.250000000000000000e+02,-7.259736328125000000e+02,-2.695874691009521484e+00,-2.695874691009521484e+00,0.000000000000000000e+00
8.456200000000000000e+04,4.747926025390625000e+02,-7.682125244140625000e+02,-8.250000000000000000e+02,-7.298565063476562500e+02,-1.986308097839355469e+00,-1.986308097839355469e+00,0.000000000000000000e+00
8.456400000000000000e+04,4.732443847656250000e+02,-7.738958129882812500e+02,-8.250000000000000000e+02,-7.335870971679687500e+02,-1.460390090942382812e+00,-1.460390090942382812e+00,0.000000000000000000e+00
8.456600000000000000e+04,4.716837463378906250e+02,-7.794416503906250000e+02,-8.250000000000000000e+02,-7.371714477539062500e+02,-9.194064140319824219e-01,-9.194064140319824219e-01,0.000000000000000000e+00
8.456800000000000000e+04,4.700589904785156250e+02,-7.836583251953125000e+02,-8.250000000000000000e+02,-7.406152343750000000e+02,-5.075058937072753906e-01,-5.075058937072753906e-01,0.000000000000000000e+00
8.457000000000000000e+04,4.685460205078125000e+02,-7.861791381835937500e+02,-8.250000000000000000e+02,-7.439240112304687500e+02,-2.769289016723632812e-01,-2.769289016723632812e-01,0.000000000000000000e+00
8.457200000000000000e+04,4.669447631835937500e+02,-7.859958496093750000e+02,-8.250000000000000000e+02,-7.471030273437500000e+02,-3.597145080566406250e-01,-3.597145080566406250e-01,0.000000000000000000e+00
8.457400000000000000e+04,4.653747253417968750e+02,-7.854916381835937500e+02,-8.250000000000000000e+02,-7.501574096679687500e+02,-4.854164123535156250e-01,-4.854164123535156250e-01,0.000000000000000000e+00
8.457700000000000000e+04,4.637781677246093750e+02,-7.854916381835937500e+02,-8.250000000000000000e+02,-7.530920410156250000e+02,-5.565700531005859375e-01,-5.565700531005859375e-01,0.000000000000000000e+00
8.457800000000000000e+04,4.622128295898437500e+02,-7.834749755859375000e+02,-8.250000000000000000e+02,-7.559115600585937500e+02,-8.740420341491699219e-01,-8.740420341491699219e-01,0.000000000000000000e+00
8.458000000000000000e+04,4.606783752441406250e+02,-7.816416625976562500e+02,-8.250000000000000000e+02,-7.586205444335937500e+02,-1.185313224792480469e+00,-1.185313224792480469e+00,0.000000000000000000e+00
8.458200000000000000e+04,4.591197509765625000e+02,-7.801291503906250000e+02,-8.250000000000000000e+02,-7.612233276367187500e+02,-1.472795963287353516e+00,-1.472795963287353516e+00,0.000000000000000000e+00
