tick,id,target,model,velocity,current,position,reference_current
244023,1,-55.5037727355957,-50.71239471435547,-31.78005027770996,-5.958984851837158,88.25888061523438,-3.5315544605255127
244043,1,-43.662200927734375,-50.04763412475586,-40.813636779785156,-3.4760470390319824,87.20413208007812,-3.460453987121582
244063,1,-29.222639083862305,-47.13624572753906,-47.80908203125,-0.7155616283416748,86.03961181640625,-2.6105587482452393
244083,1,-13.44164752960205,-42.37301254272461,-49.179691314697266,1.2419682741165161,84.98487091064453,-1.5537900924682617
244103,1,3.0619094371795654,-35.966835021972656,-41.61766052246094,1.2975436449050903,84.34769439697266,-0.5840960741043091
244123,1,10.692294120788574,-28.029287338256836,-30.202329635620117,0.42353951930999756,84.08399963378906,-0.1865173876285553
244143,1,26.788543701171875,-18.714841842651367,-19.499984741210938,0.22691482305526733,83.99613189697266,0.02464182861149311
244163,1,41.90100860595703,-8.728432655334473,-7.711190223693848,-0.15008772909641266,84.19387817382812,0.030485620722174644
244183,1,54.302650451660156,1.7101248502731323,-2.383467197418213,1.2457306385040283,84.32567596435547,0.1514536291360855
244203,1,64.12877655029297,11.989974021911621,6.396788120269775,1.7238479852676392,84.72122192382812,0.40605220198631287
244223,1,67.60675048828125,21.834423065185547,13.067023277282715,2.5728352069854736,85.1826171875,0.8049944639205933
244243,1,72.57420349121094,30.83608055114746,19.8525447845459,3.2920308113098145,85.77591705322266,1.2411432266235352
244263,1,73.6215591430664,38.57024002075195,23.646160125732422,4.4708733558654785,86.39118194580078,1.8231934309005737
244283,1,71.11078643798828,44.69903564453125,26.348388671875,5.54610538482666,87.00638580322266,2.4934864044189453
244303,1,64.21231842041016,49.02367401123047,32.769065856933594,5.149435520172119,87.84136962890625,2.916778326034546
244323,1,59.857479095458984,51.284454345703125,36.97461700439453,4.843043327331543,88.6983642578125,3.177025556564331
244343,1,48.38346862792969,51.377601623535156,39.55635452270508,4.244114398956299,89.55525207519531,3.0870301723480225
244363,1,34.7132453918457,49.16294860839844,43.2640266418457,2.635272264480591,90.5440444946289,2.856391429901123
244383,1,18.099594116210938,45.02560043334961,42.963653564453125,1.4476499557495117,91.40103912353516,2.349337339401245
244403,1,1.3734782934188843,38.97614288330078,39.856689453125,0.4577096998691559,92.12612915039062,1.6753430366516113
244423,1,-6.948312282562256,31.218910217285156,34.23151397705078,-0.15306295454502106,92.65348052978516,1.0738129615783691
244443,1,-23.95589256286621,22.064783096313477,23.447734832763672,0.07402732223272324,92.80729675292969,0.6657153964042664
244463,1,-39.76735305786133,11.907224655151367,14.526772499084473,-0.3999110758304596,92.82926177978516,0.3861828148365021
244483,1,-52.237274169921875,1.2269959449768066,5.817845344543457,-1.0396969318389893,92.6974105834961,-0.033408023416996
244503,1,-64.07378387451172,-9.409563064575195,-12.434709548950195,0.9638845920562744,91.90636444091797,0.09301520138978958
244523,1,-68.01966857910156,-19.764699935913086,-11.08531379699707,-2.099407434463501,91.73058319091797,-0.2878113090991974
